abspath.c path 	abspath.c path 
path die error 	path die error 
retval cwd 	retval cwd 
depth last elem 	depth last elem 
last slash 	last slash 
next len path 	next len path 
path path 	path path 
pfx pfx len 	pfx pfx len 
arg path 	arg path 
stat isdir die 	stat isdir die 
strbuf reset 	strbuf reset 
strbuf addstr directory 	strbuf addstr directory 
find last 	find last 
dir sep xstrdup 	dir sep xstrdup 
strbuf setlen 	strbuf setlen 
xmemdupz strbuf reset 	xmemdupz strbuf reset 
strbuf getcwd 	strbuf getcwd 
die errno chdir 	die errno chdir 
die errno 	die errno 
strbuf getcwd 	strbuf getcwd 
die errno dir 	die errno dir 
sep strbuf 	sep strbuf 
addch strbuf addstr 	addch strbuf addstr 
free lstat 	free lstat 
islnk strbuf readlink 	islnk strbuf readlink 
die errno 	die errno 
strbuf swap strbuf 	strbuf swap strbuf 
release free 	release free 
chdir die errno 	chdir die errno 
strbuf release 	strbuf release 
real path real 	real path real 
path strbuf 	path strbuf 
reset strbuf absolute 	reset strbuf absolute 
path absolute 	path absolute 
path strbuf reset 	path strbuf reset 
strbuf strbuf 	strbuf strbuf 
addstr strbuf reset 	addstr strbuf reset 
absolute path 	absolute path 
strbuf strbuf 	strbuf strbuf 
addstr use inspecting 	addstr use inspecting 
tracked content 	tracked content 
path symlink directory 	path symlink directory 
want say 	want say 
directory dealing tracked 	directory dealing tracked 
content working 	content working 
allow recursive symbolic 	allow recursive symbolic 
links within 	links within 
reason though real 	reason though real 
path absolute 	path absolute 
path symlinks resolved 	path symlinks resolved 
extra slashes 	extra slashes 
removed equivalent specified 	removed equivalent specified 
path want 	path want 
absolute path mind 	absolute path mind 
links use 	links use 
absolute path 	absolute path 
pointer buffer input 	pointer buffer input 
intermediate paths 	intermediate paths 
must shorter max 	must shorter max 
path directory 	path directory 
part path everything 	part path everything 
last dir 	last dir 
sep must denote 	sep must denote 
valid existing 	valid existing 
directory last component 	directory last component 
need exist 	need exist 
die error die 	die error die 
informative error 	informative error 
message problem otherwise 	message problem otherwise 
errors without 	errors without 
generating output path 	generating output path 
buffer path 	buffer path 
already user wants 	already user wants 
temporarily chdir 	temporarily chdir 
store original 	store original 
cwd chdir back 	cwd chdir back 
end function 	end function 
already done use 	already done use 
absolute path 	absolute path 
relative one want 	relative one want 
resolve links 	resolve links 
use real path 	use real path 
unlike prefix 	unlike prefix 
path used named 	path used named 
file interact 	file interact 
index entry name 	index entry name 
random file 	random file 
filesystem prefix absolute 	filesystem prefix absolute 
paths still 	paths still 
replace add.c builtin 	replace add.c builtin 
usage patch 	usage patch 
interactive interactive edit 	interactive interactive edit 
interactive take 	interactive take 
worktree changes 	worktree changes 
flags errors data 	flags errors data 
opt cbdata 	opt cbdata 
data path prefix 	data path prefix 
pathspec flags 	pathspec flags 
data rev dir 	data rev dir 
pathspec prefix 	pathspec prefix 
seen src dst 	seen src dst 
entry verbose 	entry verbose 
